車種名,排気量(cc),最高出力(PS),車両重量(kg),燃費(km/L),0-100km加速(秒),最高速度(km/h)
ヤリス 1.0,996,69,940,20.2,12.5,160
フィット 1.3,1317,98,1070,20.4,11.2,175
ノート e-POWER,1198,116,1220,28.4,7.9,165
プリウス 2.0,1986,196,1400,28.6,7.5,180
アクア 1.5,1490,116,1130,34.6,9.4,170
カローラ 1.5,1496,120,1250,18.3,10.2,185
シビック 1.5T,1496,182,1370,16.3,7.8,215
シビック Type R,1995,330,1430,12.5,5.4,275
GRヤリス,1618,272,1280,13.6,5.2,230
ロードスター 1.5,1496,132,1010,16.8,8.3,205
GR86 2.4,2387,235,1270,12.0,6.3,235
スープラ 3.0,2997,387,1530,12.0,4.1,250
GT-R 3.8,3799,570,1760,7.8,2.8,315
クラウン クロスオーバー,2487,234,1770,22.4,7.7,190
レクサス LS500,3444,422,2150,10.2,5.0,250
レクサス IS300,1998,245,1640,12.2,7.0,230
ヴェゼル e-POWER,1496,131,1350,24.8,9.5,175
RAV4 2.0,1986,171,1620,15.2,9.8,190
ハリアー ハイブリッド,2487,222,1690,22.3,7.8,180
ランドクルーザー 300,3345,415,2500,8.0,6.7,210
フォレスター 2.0,1995,145,1640,14.0,10.3,188
CX-5 2.2D,2188,200,1660,16.6,8.5,205
CX-60 3.3D,3282,254,1890,21.1,7.3,215
ステップワゴン,1496,150,1740,13.9,10.8,175
アルファード 2.5,2493,182,2060,10.6,11.5,180
アルファード ハイブリッド,2487,250,2160,17.7,8.6,180
N-BOX 660,658,58,890,21.6,15.0,135
タント 660,658,52,880,22.7,16.2,130
ジムニー 660,658,64,1030,16.2,15.5,140
BMW 320i,1998,184,1560,15.6,7.1,235
ベンツ C200,1496,204,1660,14.5,7.3,245
ポルシェ 911 カレラ,2981,385,1505,10.1,4.2,293
フォルクスワーゲン ゴルフ,1498,150,1360,18.6,8.5,224
アウディ A4 40TFSI,1984,204,1550,15.0,7.1,245
テスラ モデル3 RWD,0,283,1760,25.0,6.1,225
