都道府県,握力(kg),上体起こし(回),長座体前屈(cm),反復横跳び(点),20mシャトルラン(回),50m走(秒),立ち幅跳び(cm),ハンドボール投(m)
北海道,28.8,28.5,47.2,54.1,88.2,7.95,203.4,22.8
青森県,29.4,29.1,48.0,53.8,89.5,7.90,205.1,23.4
岩手県,29.0,29.3,49.1,54.5,91.2,7.88,206.2,23.1
宮城県,28.7,28.8,47.8,53.9,87.6,7.96,204.0,22.6
秋田県,29.8,30.2,50.4,55.6,93.4,7.80,208.5,24.2
山形県,29.2,29.7,49.6,54.8,91.0,7.85,206.8,23.5
福島県,29.1,29.0,48.5,54.2,88.9,7.92,205.0,23.0
茨城県,28.9,29.4,48.2,55.0,91.5,7.86,206.0,23.2
栃木県,28.6,28.9,47.9,54.3,89.8,7.91,204.8,22.9
群馬県,28.8,29.2,48.1,54.7,90.5,7.87,205.5,23.0
埼玉県,28.5,28.6,47.3,53.6,87.9,7.97,203.5,22.4
千葉県,28.7,28.9,47.6,53.8,88.4,7.94,204.2,22.7
東京都,27.9,27.8,46.2,52.5,84.6,8.08,200.5,21.8
神奈川県,28.1,28.0,46.5,52.9,85.2,8.04,201.2,22.0
新潟県,29.3,29.8,49.8,55.1,92.1,7.83,207.2,23.8
富山県,29.1,29.5,49.0,54.9,91.4,7.86,206.5,23.3
石川県,29.5,30.0,50.1,55.4,92.8,7.81,208.0,24.0
福井県,30.2,30.8,51.2,56.2,95.0,7.74,210.4,24.8
山梨県,28.7,29.1,48.0,54.4,90.2,7.89,205.2,22.9
長野県,28.9,29.6,48.7,54.6,91.8,7.85,206.4,23.1
岐阜県,28.8,29.0,48.3,54.2,89.6,7.90,205.1,23.0
静岡県,28.6,28.8,47.7,53.9,88.5,7.93,204.3,22.6
愛知県,28.4,28.5,47.1,53.4,87.2,7.99,203.0,22.3
三重県,28.7,29.0,48.2,54.1,89.3,7.91,204.9,22.8
滋賀県,28.9,29.3,48.6,54.5,90.8,7.87,205.8,23.1
京都府,28.2,28.3,46.8,53.0,86.1,8.02,201.9,22.1
大阪府,28.0,28.1,46.4,52.7,85.0,8.06,201.0,21.9
兵庫県,28.3,28.4,47.0,53.2,86.5,8.01,202.5,22.2
奈良県,28.5,28.7,47.4,53.5,87.5,7.98,203.4,22.4
和歌山県,28.6,28.8,47.8,53.8,88.6,7.94,204.1,22.6
鳥取県,29.0,29.4,48.9,54.7,91.0,7.86,206.1,23.2
島根県,29.2,29.6,49.2,54.9,91.6,7.84,206.7,23.5
岡山県,28.8,29.1,48.1,54.3,89.9,7.90,205.3,22.9
広島県,28.6,28.8,47.7,53.8,88.7,7.93,204.4,22.7
山口県,28.9,29.2,48.4,54.4,90.3,7.88,205.6,23.0
徳島県,28.7,29.0,48.0,54.1,89.4,7.92,204.8,22.8
香川県,28.5,28.7,47.5,53.6,88.0,7.96,203.8,22.5
愛媛県,29.1,29.5,48.8,54.8,91.2,7.85,206.3,23.3
高知県,28.4,28.6,47.2,53.3,87.0,8.00,202.8,22.3
福岡県,28.3,28.4,46.9,53.1,86.2,8.03,202.0,22.1
佐賀県,28.8,29.1,48.2,54.3,90.0,7.89,205.2,22.9
長崎県,28.7,29.0,47.9,54.0,89.1,7.93,204.6,22.7
熊本県,28.9,29.3,48.5,54.5,90.6,7.87,205.8,23.1
大分県,28.8,29.1,48.1,54.2,89.7,7.91,205.0,22.8
宮崎県,29.3,29.7,49.4,55.0,92.0,7.83,207.0,23.6
鹿児島県,29.0,29.4,48.7,54.6,90.8,7.86,206.0,23.2
沖縄県,27.8,27.5,45.8,52.0,83.5,8.12,199.5,21.5
