ワイン検体名,アルコール度数(%),リンゴ酸(g/L),灰分(g/L),灰分アルカリ度,マグネシウム(mg/L),フラボノイド(g/L),色強度,色相,プロリン(mg/L)
イタリア・バローロ(品種A)_01,13.64,1.93,2.43,18.1,104,2.46,5.77,1.03,1088
イタリア・バローロ(品種A)_02,13.75,2.09,2.68,18.0,107,2.72,4.69,1.08,1272
イタリア・バローロ(品種A)_03,13.72,1.96,2.56,14.8,102,3.15,6.20,1.04,1160
イタリア・バローロ(品種A)_04,13.80,2.31,2.23,17.9,90,2.06,5.01,0.97,1220
イタリア・バローロ(品種A)_05,13.97,1.51,2.62,15.5,105,2.88,5.59,1.14,1191
イタリア・バローロ(品種A)_06,13.84,2.26,2.55,16.1,98,2.82,5.90,1.03,1395
イタリア・バローロ(品種A)_07,13.37,1.56,2.60,19.1,111,3.27,6.64,1.05,944
イタリア・バローロ(品種A)_08,13.49,2.38,2.16,17.1,108,2.87,6.08,1.12,1393
イタリア・バローロ(品種A)_09,13.95,1.76,2.34,15.8,115,2.78,5.44,1.13,1028
イタリア・バローロ(品種A)_10,13.58,1.26,2.23,16.1,110,3.40,5.49,1.09,1135
イタリア・バローロ(品種A)_11,14.13,2.36,2.50,15.5,115,3.11,6.48,1.06,1349
イタリア・バローロ(品種A)_12,13.56,2.64,2.47,16.2,94,2.93,6.64,1.14,1197
イタリア・バローロ(品種A)_13,12.75,2.28,2.56,16.2,99,2.98,6.88,0.95,1063
イタリア・バローロ(品種A)_14,14.24,1.82,2.38,17.1,93,3.06,4.53,1.15,1115
イタリア・バローロ(品種A)_15,14.61,2.11,2.72,15.0,104,3.09,6.90,0.89,1233
イタリア・グリニョリーノ(品種B)_01,12.50,2.67,2.45,20.3,87,1.52,3.14,1.02,700
イタリア・グリニョリーノ(品種B)_02,11.89,2.06,1.77,19.4,97,2.45,4.01,1.04,418
イタリア・グリニョリーノ(品種B)_03,12.43,2.16,2.39,18.8,107,2.12,3.49,1.24,573
イタリア・グリニョリーノ(品種B)_04,12.34,2.98,2.31,19.6,95,2.75,3.08,1.13,626
イタリア・グリニョリーノ(品種B)_05,11.94,1.04,2.33,20.7,86,2.47,3.43,0.90,565
イタリア・グリニョリーノ(品種B)_06,12.10,1.16,2.38,20.1,85,2.32,3.34,0.96,555
イタリア・グリニョリーノ(品種B)_07,12.71,1.54,2.35,20.2,121,1.24,3.49,1.00,509
イタリア・グリニョリーノ(品種B)_08,13.15,1.90,2.91,19.3,98,1.86,2.52,1.06,493
イタリア・グリニョリーノ(品種B)_09,12.30,0.85,2.84,19.9,114,1.63,3.20,1.52,440
イタリア・グリニョリーノ(品種B)_10,11.45,1.63,2.38,21.6,109,1.96,1.88,0.98,630
イタリア・グリニョリーノ(品種B)_11,12.43,0.92,2.23,23.0,119,2.33,3.22,0.86,443
イタリア・グリニョリーノ(品種B)_12,12.22,2.15,2.41,19.2,80,1.73,2.19,1.15,310
イタリア・グリニョリーノ(品種B)_13,12.03,2.12,2.70,20.3,106,1.90,2.48,0.95,656
イタリア・グリニョリーノ(品種B)_14,12.70,2.14,3.24,20.1,101,2.22,2.84,1.40,654
イタリア・グリニョリーノ(品種B)_15,11.50,1.70,2.37,21.8,77,1.06,1.67,1.04,509
イタリア・バルベーラ(品種C)_01,13.27,2.84,2.19,18.4,102,0.87,8.49,0.76,612
イタリア・バルベーラ(品種C)_02,13.77,3.22,2.30,20.6,93,0.24,7.49,0.70,598
イタリア・バルベーラ(品種C)_03,12.74,3.52,2.77,21.5,93,0.63,7.22,0.55,618
イタリア・バルベーラ(品種C)_04,13.13,4.41,2.62,23.0,91,0.95,5.93,0.71,664
イタリア・バルベーラ(品種C)_05,12.72,4.50,2.54,18.5,104,0.68,7.30,0.73,662
イタリア・バルベーラ(品種C)_06,12.08,2.61,2.58,23.4,118,1.23,4.83,0.76,466
イタリア・バルベーラ(品種C)_07,13.91,3.45,2.20,24.4,105,0.31,7.65,0.61,638
イタリア・バルベーラ(品種C)_08,12.87,4.12,2.15,21.9,117,0.57,7.55,0.70,570
イタリア・バルベーラ(品種C)_09,13.42,3.36,2.24,24.0,106,0.74,6.54,0.60,733
イタリア・バルベーラ(品種C)_10,13.03,3.58,2.39,22.3,97,0.97,7.08,0.76,686
イタリア・バルベーラ(品種C)_11,13.04,2.78,2.24,20.3,89,1.00,7.24,0.84,822
イタリア・バルベーラ(品種C)_12,13.11,2.37,2.35,21.3,84,0.72,7.64,0.63,563
イタリア・バルベーラ(品種C)_13,12.72,4.37,2.40,20.2,95,1.02,6.48,0.73,690
イタリア・バルベーラ(品種C)_14,13.47,4.14,2.32,23.1,91,0.68,8.74,0.76,629
イタリア・バルベーラ(品種C)_15,12.50,3.64,2.30,20.0,92,0.84,4.75,0.72,643
